Gesture,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
one,0.487392,0.724917,0.0,0.529823,0.695902,-0.029297,0.56342,0.643281,-0.048604,0.570029,0.590537,-0.067584,0.552451,0.543153,-0.084768,0.554782,0.521952,-0.027462,0.559968,0.432777,-0.056006,0.555899,0.37587,-0.071361,0.547249,0.328347,-0.080298,0.516765,0.523339,-0.028863,0.540826,0.484731,-0.075473,0.540493,0.559513,-0.085695,0.534396,0.603642,-0.079848,0.481671,0.537552,-0.033545,0.501899,0.53104,-0.078887,0.505615,0.602171,-0.071322,0.503648,0.636099,-0.052467,0.448031,0.559444,-0.04047,0.466788,0.550543,-0.067369,0.477753,0.597846,-0.057797,0.478759,0.620653,-0.042227
one,0.482758,0.729151,0.0,0.525931,0.699064,-0.028301,0.558784,0.645657,-0.046828,0.564405,0.592598,-0.065251,0.545851,0.546099,-0.081996,0.550262,0.523436,-0.02661,0.556228,0.436189,-0.054774,0.552513,0.379913,-0.07009,0.544584,0.33253,-0.079198,0.512141,0.523961,-0.028183,0.533518,0.492122,-0.074192,0.533587,0.566946,-0.084323,0.528667,0.611002,-0.078826,0.476979,0.538353,-0.032931,0.495198,0.53451,-0.077254,0.499225,0.604726,-0.069607,0.498414,0.638955,-0.051197,0.443505,0.561218,-0.039981,0.460515,0.55606,-0.066589,0.471453,0.603115,-0.05755,0.473483,0.625667,-0.042472
one,0.481631,0.728526,0.0,0.523666,0.69792,-0.029013,0.555652,0.646285,-0.048184,0.560016,0.594737,-0.067022,0.542442,0.548035,-0.08403,0.548546,0.522591,-0.02815,0.55436,0.437359,-0.056568,0.550587,0.381508,-0.072124,0.542947,0.334105,-0.081468,0.509548,0.522328,-0.029522,0.530271,0.495074,-0.075392,0.5304,0.569168,-0.08569,0.525456,0.61229,-0.080456,0.474021,0.536735,-0.034059,0.492636,0.538445,-0.078108,0.49676,0.607713,-0.070934,0.495615,0.64005,-0.053045,0.440527,0.56013,-0.040983,0.458357,0.558956,-0.067379,0.468918,0.605577,-0.058705,0.4703,0.626201,-0.043987
one,0.476883,0.732502,0.0,0.519782,0.702408,-0.029276,0.551619,0.650152,-0.048518,0.557339,0.596818,-0.067534,0.540596,0.548182,-0.084743,0.546329,0.525716,-0.027465,0.553823,0.441129,-0.055849,0.551159,0.384246,-0.07178,0.54507,0.336339,-0.081423,0.507379,0.524265,-0.028677,0.528437,0.498353,-0.074773,0.527787,0.571482,-0.085747,0.52261,0.614922,-0.081007,0.471506,0.537676,-0.033054,0.4906,0.53878,-0.077231,0.493585,0.608224,-0.07013,0.492193,0.64257,-0.052184,0.437381,0.560603,-0.039878,0.456107,0.557556,-0.066698,0.466144,0.604211,-0.058023,0.467443,0.627011,-0.043055
one,0.47455,0.733447,-0.0,0.517012,0.703561,-0.028211,0.547844,0.652242,-0.047592,0.554135,0.601077,-0.067094,0.53777,0.553505,-0.084746,0.545444,0.526064,-0.02703,0.553437,0.440285,-0.055418,0.551165,0.383858,-0.071228,0.545144,0.33745,-0.080756,0.50612,0.524735,-0.028841,0.526017,0.499179,-0.075051,0.524723,0.573565,-0.085569,0.519578,0.617137,-0.080401,0.469831,0.537737,-0.033836,0.48779,0.53929,-0.077564,0.491337,0.608367,-0.070268,0.490387,0.642377,-0.052403,0.435613,0.559925,-0.041271,0.453788,0.559354,-0.067938,0.463799,0.605714,-0.059624,0.465345,0.627431,-0.044996
one,0.473898,0.730036,0.0,0.515831,0.700034,-0.029349,0.545672,0.649695,-0.048689,0.547888,0.599463,-0.067621,0.531566,0.551353,-0.084653,0.546425,0.527594,-0.027244,0.554529,0.441636,-0.05483,0.553232,0.385147,-0.0701,0.547833,0.33835,-0.079379,0.507154,0.527402,-0.028524,0.524026,0.49596,-0.074137,0.522842,0.568583,-0.08473,0.518395,0.611813,-0.079549,0.47074,0.540912,-0.033047,0.485392,0.539656,-0.077042,0.489276,0.608911,-0.070104,0.489043,0.641315,-0.052222,0.43623,0.562468,-0.039913,0.45113,0.557751,-0.066608,0.460917,0.604838,-0.05785,0.462854,0.625648,-0.042959
one,0.465689,0.722967,0.0,0.508222,0.695383,-0.03187,0.536589,0.643637,-0.050132,0.536625,0.591562,-0.0668,0.521844,0.542235,-0.081513,0.551337,0.536441,-0.028183,0.563286,0.444508,-0.055023,0.565913,0.386238,-0.069694,0.564828,0.337079,-0.078578,0.513891,0.534535,-0.027287,0.520444,0.487354,-0.072288,0.515238,0.556197,-0.082104,0.51352,0.601788,-0.076174,0.477601,0.544198,-0.029989,0.480483,0.528597,-0.074171,0.481526,0.596248,-0.067912,0.48412,0.629618,-0.050269,0.443151,0.560026,-0.035094,0.448798,0.543713,-0.063042,0.454987,0.59329,-0.055036,0.459254,0.618563,-0.040514
one,0.456495,0.701426,0.0,0.497273,0.680403,-0.035954,0.524625,0.635204,-0.055805,0.520722,0.583012,-0.073126,0.505428,0.533212,-0.08853,0.551145,0.528156,-0.032024,0.569129,0.441077,-0.058531,0.577053,0.384712,-0.074069,0.580098,0.335764,-0.084223,0.513668,0.522289,-0.029248,0.514643,0.478396,-0.073792,0.504328,0.541567,-0.085198,0.500719,0.584376,-0.081329,0.477129,0.527239,-0.030328,0.472154,0.515121,-0.075287,0.46978,0.580978,-0.072088,0.472567,0.614314,-0.056975,0.443017,0.537884,-0.034078,0.442766,0.525106,-0.064662,0.44579,0.575726,-0.059981,0.451265,0.6029,-0.047788
one,0.451033,0.707531,0.0,0.491253,0.692249,-0.038274,0.521976,0.651047,-0.060771,0.519348,0.601435,-0.080585,0.505869,0.552631,-0.09846,0.555527,0.544205,-0.037301,0.578966,0.457059,-0.065891,0.591488,0.399908,-0.082918,0.597361,0.351241,-0.094199,0.517919,0.535405,-0.033793,0.518937,0.498316,-0.080136,0.505737,0.562457,-0.091988,0.500637,0.60118,-0.088861,0.481119,0.536939,-0.03417,0.474746,0.522769,-0.079521,0.470398,0.58887,-0.075131,0.473009,0.620952,-0.059971,0.445798,0.544372,-0.037565,0.445097,0.534116,-0.068603,0.446732,0.584783,-0.063783,0.452278,0.610585,-0.051809
one,0.446473,0.702534,0.0,0.487213,0.690882,-0.038245,0.518295,0.651033,-0.058617,0.514569,0.601335,-0.075909,0.501543,0.55356,-0.091096,0.558145,0.548544,-0.035429,0.585394,0.463157,-0.063682,0.600834,0.407377,-0.081309,0.609514,0.358627,-0.093161,0.521129,0.538117,-0.031376,0.520225,0.499201,-0.076511,0.503954,0.560661,-0.088797,0.497854,0.598834,-0.08632,0.484431,0.537064,-0.031416,0.475484,0.52124,-0.075787,0.468617,0.585713,-0.072426,0.4711,0.616719,-0.058127,0.449495,0.542039,-0.03454,0.446701,0.529011,-0.064826,0.44593,0.578775,-0.060164,0.450925,0.60468,-0.048417
